source,target,weight
0,4,26
0,13,54
0,16,29
0,26,18
0,33,23
0,36,44
0,41,33
0,44,64
0,47,45
0,49,47
0,53,32
0,57,84
0,1,46
0,63,33
1,8,1
1,9,56
1,10,52
1,14,29
1,24,41
1,36,25
1,41,54
1,43,9
1,44,4
1,48,48
1,49,43
1,51,58
1,56,66
1,63,27
1,2,81
2,3,83
2,5,63
2,6,16
2,7,89
2,10,27
2,12,88
2,13,11
2,14,48
2,17,59
2,19,73
2,20,56
2,22,37
2,27,36
2,30,13
2,34,92
2,37,48
2,45,28
2,47,86
2,50,81
2,51,10
2,52,77
2,55,57
3,4,82
3,5,22
3,7,81
3,17,82
3,19,42
3,20,55
3,32,76
3,35,38
3,41,28
3,43,23
3,46,60
3,47,13
3,50,16
3,52,69
3,55,85
3,56,52
3,60,13
4,6,65
4,7,46
4,8,98
4,14,57
4,23,45
4,25,13
4,26,33
4,32,45
4,33,28
4,35,30
4,38,81
4,40,28
4,41,56
4,42,20
4,44,3
4,48,35
4,5,12
5,7,77
5,8,76
5,10,41
5,11,71
5,21,47
5,25,19
5,31,18
5,33,99
5,34,66
5,36,95
5,37,43
5,38,81
5,41,48
5,44,14
5,54,80
5,56,89
5,61,12
5,62,7
5,63,3
5,6,78
6,12,92
6,13,41
6,15,66
6,16,5
6,17,64
6,18,68
6,21,86
6,22,94
6,35,98
6,46,11
6,47,98
6,49,80
6,50,97
6,56,17
6,58,74
6,59,75
6,61,69
6,62,41
6,7,53
7,12,100
7,17,46
7,19,45
7,20,52
7,23,45
7,34,17
7,38,91
7,47,54
7,53,73
7,54,65
7,61,56
7,62,47
7,8,35
8,14,66
8,20,39
8,23,26
8,26,73
8,30,67
8,31,56
8,33,58
8,35,38
8,38,8
8,40,38
8,41,90
8,44,29
8,45,100
8,47,63
8,50,12
8,51,14
8,54,6
8,58,71
8,62,89
8,9,51
9,10,27
9,12,48
9,17,12
9,19,86
9,21,100
9,22,5
9,23,52
9,24,97
9,25,10
9,29,52
9,32,92
9,36,9
9,41,72
9,42,11
9,46,80
9,54,8
9,57,70
9,61,70
9,62,42
10,12,62
10,13,35
10,17,32
10,22,19
