source,target,weight
0,4,42
0,13,79
0,16,67
0,26,95
0,33,18
0,36,10
0,41,4
0,44,9
0,47,28
0,49,39
0,53,79
0,57,90
0,70,26
0,71,18
0,72,70
0,76,38
0,86,78
0,98,11
0,103,67
0,105,96
0,106,13
0,110,100
0,111,85
0,113,42
0,118,95
0,125,42
0,126,82
0,1,79
0,127,94
1,2,51
1,3,10
1,4,46
1,7,70
1,9,46
1,10,29
1,11,87
1,14,81
1,16,100
1,17,13
1,19,31
1,24,94
1,27,94
1,31,74
1,34,51
1,42,41
1,44,91
1,47,81
1,48,46
1,49,2
1,52,37
1,61,93
1,62,31
1,64,42
1,74,66
1,76,82
1,77,35
1,89,26
1,92,26
1,98,98
1,100,85
1,103,48
1,104,38
1,107,92
1,109,3
1,112,40
1,113,28
1,117,61
1,122,63
1,123,55
1,124,89
2,5,99
2,14,4
2,16,80
2,17,78
2,23,67
2,24,80
2,26,20
2,29,4
2,31,59
2,32,71
2,33,63
2,35,90
2,39,77
2,56,79
2,57,84
2,59,16
2,60,13
2,70,6
2,74,10
2,80,4
2,82,50
2,83,88
2,85,80
2,86,48
2,87,95
2,90,86
2,93,94
2,103,78
2,105,50
2,110,24
2,111,24
2,112,33
2,118,46
2,119,10
2,121,46
2,122,97
2,123,46
2,124,80
2,127,30
2,3,92
3,4,99
3,17,18
3,28,39
3,29,53
3,31,44
3,32,9
3,38,60
3,40,56
3,41,10
3,43,23
3,44,81
3,50,43
3,55,96
3,57,24
3,58,60
3,61,32
3,72,7
3,76,32
3,85,92
3,91,30
3,92,8
3,99,7
3,100,69
3,107,53
3,113,58
3,116,87
3,119,67
3,123,87
3,124,59
3,126,61
4,5,25
4,8,79
4,10,18
4,11,4
4,14,18
4,15,34
4,17,51
4,20,64
4,21,69
4,24,92
4,28,54
4,32,81
4,34,38
4,36,3
4,41,26
4,43,34
4,45,57
4,46,85
4,47,81
4,48,82
4,49,7
4,53,60
4,56,53
4,60,67
4,65,22
4,66,20
4,70,47
4,78,96
4,81,93
4,85,6
4,86,73
4,89,5
4,90,79
4,94,49
4,99,90
4,101,65
4,103,34
4,105,70
4,106,93
4,110,43
4,111,22
4,112,84
4,116,54
4,121,55
4,123,96
4,125,96
5,13,68
5,16,92
5,20,73
5,29,83
5,32,70
5,34,78
5,37,12
5,39,47
5,44,97
5,45,15
5,51,8
5,53,61
5,54,2
5,57,68
5,64,21
5,71,99
5,72,65
5,75,63
5,77,61
5,78,97
5,79,28
5,80,11
5,82,45
5,87,30
5,100,96
5,101,25
5,102,50
5,103,32
5,104,3
5,106,91
5,114,17
5,120,69
5,121,51
5,123,95
5,125,30
5,126,52
5,6,15
6,10,64
6,13,49
6,15,44
6,18,59
6,22,44
6,23,54
6,24,77
6,29,46
6,33,5
6,34,48
6,36,80
6,42,3
6,44,82
6,45,48
6,49,68
6,50,47
6,51,71
6,53,73
6,55,75
6,56,94
6,62,60
6,64,40
6,70,85
6,72,30
6,75,20
6,77,33
6,78,99
6,83,99
6,84,81
6,88,4
6,94,81
6,102,60
6,107,70
6,108,19
6,116,3
6,122,88
6,123,98
6,7,2
7,10,66
7,16,54
7,17,21
7,19,4
7,20,38
7,21,38
7,23,99
7,24,43
7,28,11
7,31,13
7,37,88
7,42,18
7,46,67
7,47,29
7,51,24
7,55,64
7,56,8
7,58,59
7,61,66
7,62,16
7,67,8
7,69,43
7,72,47
7,74,59
7,75,47
7,76,11
7,77,2
7,78,55
7,82,71
7,91,46
7,97,53
7,99,34
7,103,31
7,105,79
7,110,89
7,123,44
7,8,13
8,14,47
8,15,89
8,16,21
8,17,51
8,25,74
8,29,11
8,30,29
8,32,52
8,33,66
8,38,94
8,39,3
8,47,89
8,52,98
8,62,86
8,63,47
8,71,83
8,73,45
8,76,15
8,84,32
8,89,77
8,93,90
8,94,9
8,95,44
8,96,55
8,103,61
8,106,50
8,109,82
8,112,56
8,115,92
8,116,14
8,117,83
8,119,41
8,127,25
8,9,8
9,14,66
9,15,17
9,16,87
9,20,55
9,22,13
9,29,79
9,32,35
9,33,11
9,35,97
9,36,83
9,39,12
9,42,32
9,45,45
9,48,2
9,51,62
9,53,83
9,62,69
9,70,14
9,72,100
9,74,58
9,76,46
9,78,58
9,81,18
9,86,19
9,87,95
9,95,10
9,97,24
9,100,80
9,102,92
9,105,7
9,110,35
9,111,79
9,115,34
9,117,99
9,122,71
9,125,76
9,126,18
9,10,99
10,11,37
10,13,2
10,14,83
10,17,34
10,24,38
10,25,53
10,26,1
10,27,11
10,28,64
10,29,87
10,33,61
10,35,32
10,37,2
10,41,30
10,44,23
10,46,90
10,51,78
10,55,38
10,56,67
10,59,13
10,66,75
10,75,62
10,78,61
10,79,48
10,83,56
10,85,77
10,87,10
10,94,59
10,99,68
10,107,8
10,109,13
10,111,35
10,113,100
10,116,15
10,119,87
10,121,35
10,124,5
11,14,29
11,15,19
11,16,91
11,24,41
11,47,7
11,48,43
11,55,66
11,58,76
11,63,58
11,67,93
11,70,85
11,76,65
11,79,62
11,85,47
11,88,71
11,89,32
11,95,33
11,101,56
11,106,37
11,108,91
11,111,23
11,112,5
11,113,32
11,117,8
11,118,28
11,119,22
11,120,8
11,122,68
11,125,22
11,127,25
11,12,37
12,22,12
12,23,66
12,24,100
12,27,35
12,32,41
12,34,43
12,38,87
12,45,78
12,60,26
12,63,88
12,64,93
12,67,90
12,80,26
12,83,3
12,87,32
12,88,23
12,89,67
12,91,38
12,94,41
12,95,85
12,97,17
12,98,17
12,101,13
12,103,71
12,104,100
12,107,12
12,108,26
12,109,61
12,117,31
12,124,30
12,127,51
12,13,68
13,20,80
13,22,62
13,23,87
13,25,81
13,35,51
13,36,42
13,39,11
13,41,58
13,46,57
13,48,1
13,49,62
13,55,64
13,56,12
13,60,90
13,61,37
13,68,77
13,77,75
13,86,29
13,88,47
13,92,18
13,93,100
13,94,81
13,97,47
13,107,54
13,115,50
13,124,17
13,125,34
13,14,24
14,17,8
14,18,58
14,20,21
14,25,31
14,28,15
14,34,88
14,36,29
14,39,22
14,40,8
14,42,12
14,44,60
14,49,91
14,50,11
14,51,34
14,54,9
14,59,46
14,65,46
14,67,16
14,68,2
14,73,25
14,78,89
14,80,99
14,88,63
14,106,59
14,111,97
14,114,37
14,117,58
14,122,99
14,124,7
14,125,5
14,15,51
15,22,82
15,25,61
15,26,57
15,29,56
15,32,9
15,38,100
15,42,11
15,47,8
15,52,78
15,55,17
15,58,43
15,63,87
15,66,61
15,67,39
15,68,11
15,72,2
15,76,6
15,77,13
15,79,54
15,81,84
15,82,42
15,83,59
15,88,88
15,92,43
15,93,25
15,95,97
15,102,85
15,103,42
15,105,88
15,108,13
15,109,51
15,110,83
15,112,47
15,117,34
15,123,65
15,124,54
15,125,79
15,126,13
15,16,47
16,18,13
16,23,85
16,26,60
16,27,92
16,33,66
16,37,59
16,42,59
16,54,55
16,55,20
16,69,5
16,73,49
16,74,2
16,75,85
16,76,13
16,78,56
16,81,46
16,82,83
16,86,59
16,88,18
16,102,36
16,105,58
16,107,65
16,108,96
16,109,60
16,117,53
16,119,67
16,17,14
17,20,29
17,23,94
17,28,9
17,30,8
17,31,92
17,32,51
17,36,65
17,42,1
17,48,31
17,50,6
17,55,86
17,56,65
17,57,49
17,59,21
17,60,33
17,66,33
17,70,5
17,73,83
17,82,69
17,85,71
17,87,34
17,88,96
17,92,71
17,93,92
17,95,41
17,97,61
17,99,20
17,100,77
17,101,66
17,106,41
17,110,6
17,112,83
17,114,92
17,118,1
17,124,71
17,125,17
17,18,75
18,20,13
18,21,42
18,22,19
18,38,30
18,43,22
18,44,17
18,45,52
18,50,70
18,51,86
18,54,96
18,55,4
18,59,92
18,61,56
18,68,96
18,69,21
18,73,76
18,75,67
18,83,55
18,93,27
18,94,65
18,100,49
18,104,30
18,109,18
18,116,96
18,118,79
18,124,6
18,127,12
18,19,35
19,21,94
19,31,14
19,32,2
19,41,71
19,46,12
19,53,95
19,55,38
19,59,39
19,62,91
19,68,69
19,69,10
19,72,87
19,73,20
19,74,1
19,78,68
19,79,41
19,83,78
19,85,75
19,88,10
19,90,9
19,97,40
19,98,85
19,99,45
19,101,63
19,102,29
19,104,11
19,106,86
19,107,63
19,110,70
19,114,17
19,116,73
19,119,75
19,121,59
19,125,20
19,20,81
20,27,73
20,28,82
20,36,4
20,39,59
20,40,23
20,47,56
20,49,11
20,52,100
20,53,48
20,54,5
20,60,16
20,61,61
20,63,12
20,64,29
20,65,86
